Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
7/28/21,HMYSDE9K85,7/27/21,4,D,498
7/24/21,HMKADJZSY5,7/23/21,8,A,368.4
7/22/21,HMHZ8N9YDK,7/21/21,45,B,4050.67
7/18/21,HMPKSAMXFJ,7/17/21,7,D,667.84
7/18/21,HMPKSAMXFJ,7/17/21,7,D,2671.36
7/13/21,HMN9BDXXF3,7/12/21,4,D,498
7/11/21,HMTHPQMFMZ,7/10/21,10,B,1592
7/9/21,HMTYSM5WX9,7/8/21,4,D,1752
7/4/21,HM84NMDWXC,7/3/21,4,B,632
7/3/21,HMBPPZD2KB,7/2/21,17,A,2868.8
7/3/21,HMBPPZD2KB,7/2/21,17,A,717.2
7/2/21,HMM2WM9ZDH,7/1/21,7,D,2671.36
7/2/21,HMM2WM9ZDH,7/1/21,7,D,667.84
6/28/21,HMBXHWZNSE,6/27/21,4,B,632
6/25/21,HMMQ82TMD3,6/24/21,4,D,1992
6/25/21,HMMQ82TMD3,6/24/21,4,D,498
6/21/21,HMDPM2QXYW,4/18/21,58,D,400
6/20/21,HM32CFMPK2,6/19/21,5,D,2032
6/20/21,HM32CFMPK2,6/19/21,5,D,508
6/19/21,HMZBTY4ZH3,6/18/21,9,A,1545.6
6/12/21,HMBD4TJCQ9,6/11/21,5,A,1020
6/4/21,HMAZFJYQ5E,6/3/21,4,B,376
5/29/21,HMSXH93ZX2,5/28/21,14,A,535.12
5/29/21,HMSXH93ZX2,5/28/21,14,A,2140.48
5/19/21,HMDPM2QXYW,4/18/21,58,D,8164.8
5/19/21,HMDPM2QXYW,4/18/21,58,D,2041.2
5/18/21,HM9ECEPQDW,5/17/21,8,A,1274.56
5/16/21,HM89TTY4HE,5/15/21,1,A,75
5/10/21,HMCACNSWJF,5/9/21,6,A,880
5/10/21,HMCACNSWJF,5/9/21,6,A,220
5/1/21,HM8BPQ5F84,4/30/21,7,A,294.88
5/1/21,HM8BPQ5F84,4/30/21,7,A,1179.52
4/19/21,HMDPM2QXYW,4/18/21,58,D,2070
4/19/21,HMDPM2QXYW,4/18/21,58,D,8280
4/18/21,HMC8Q5A82Y,4/17/21,4,D,203.38
4/18/21,HMC8Q5A82Y,4/17/21,4,D,813.5
4/16/21,HMZNMFSFXN,4/15/21,9,A,354.6
4/16/21,HMZNMFSFXN,4/15/21,9,A,1418.4
4/14/21,HMZH5ATET9,3/22/21,23,A,
4/8/21,HMX95PA9CD,4/7/21,11,D,3716.8
4/8/21,HMX95PA9CD,4/7/21,11,D,929.2
3/29/21,HMWPEY28CT,3/28/21,29,N,7108.12
3/29/21,HMWPEY28CT,3/28/21,29,N,1254.37
3/25/21,HMYPTE32ZT,1/22/21,56,D,1015
3/23/21,HMZH5ATET9,3/22/21,23,A,751.6
3/23/21,HMZH5ATET9,3/22/21,23,A,3006.4
3/21/21,HMXQDC5RFA,3/20/21,15,D,4552
3/21/21,HMXQDC5RFA,3/20/21,15,D,1138
3/18/21,HM4Z2FNQEJ,3/17/21,4,A,776
3/18/21,HM4Z2FNQEJ,3/17/21,4,A,194
3/15/21,HM28M2HDRK,3/14/21,2,A,448
3/15/21,HM28M2HDRK,3/14/21,2,A,112
2/26/21,HM8DFK53PA,1/24/21,54,N,5520
2/26/21,HM8DFK53PA,1/24/21,54,N,613.33
2/24/21,HMYPTE32ZT,1/22/21,56,D,6403.57
1/26/21,HM8DFK53PA,1/24/21,54,N,1651.14
1/26/21,HM8DFK53PA,1/24/21,54,N,1.09
1/26/21,HM8DFK53PA,1/24/21,54,N,6604.58
1/24/21,HMYPTE32ZT,1/22/21,56,D,2481.38
1/24/21,HMYPTE32ZT,1/22/21,56,D,7444.15
1/5/21,HMXJS2HH8A,1/3/21,8,D,91.49
1/5/21,HMXJS2HH8A,1/3/21,8,D,1192.51
1/5/21,HMXJS2HH8A,1/3/21,8,D,274.51
1/5/21,HMXJS2HH8A,1/3/21,8,D,397.49
1/5/21,HMXJS2HH8A,1/3/21,8,D,243.75
12/21/20,HMJ54SCZDE,12/19/20,15,D,1420
12/21/20,HMJ54SCZDE,12/19/20,15,D,4260
12/13/20,HM85NWTSDA,12/11/20,30,N,5916
12/13/20,HM85NWTSDA,12/11/20,30,N,1479
